%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.transform.translation.x,field.transform.translation.y,field.transform.translation.z,field.transform.rotation.x,field.transform.rotation.y,field.transform.rotation.z,field.transform.rotation.w
1349442726048940345,60143,1349442726048993269,/world,vicon/auk/auk,0.000635525527433,-0.000144249944234,0.100285962254,-0.00038539182164,-0.00204799741301,0.000621917843924,0.999997635196
1349442726058457009,60144,1349442726058956642,/world,vicon/auk/auk,0.000355410803256,-0.000217409396141,0.100096605258,0.00011300480184,-0.00149951773061,8.4580778919e-05,0.999998865761
1349442726068895453,60145,1349442726068914092,/world,vicon/auk/auk,0.000331177246591,-0.000204517462538,0.100113335724,0.000111179021852,-0.00140114689098,-9.3491801886e-05,0.999999007842
1349442726078148669,60146,1349442726078750853,/world,vicon/auk/auk,0.000399876355812,-0.00021135655414,0.100060696423,5.46984724e-05,-0.00159279751167,6.44900103346e-05,0.999998727922
1349442726088457276,60147,1349442726088866923,/world,vicon/auk/auk,0.000375716343678,-0.000160681740034,0.100006941931,0.000120958563383,-0.00117541986356,0.000100198642739,0.999999296858
1349442726098071995,60148,1349442726098837957,/world,vicon/auk/auk,0.000480676381632,-0.000289186104454,0.100318819358,-0.00056895365963,-0.000499088778512,0.000589800162034,0.999999539669
1349442726108693295,60149,1349442726109016641,/world,vicon/auk/auk,0.00029889861603,-0.000223202119681,0.100099484824,7.71215923825e-05,-0.00129218866605,0.000112133112444,0.999999155863
1349442726118187394,60150,1349442726119031589,/world,vicon/auk/auk,0.000359460753838,-0.000161963636522,0.100039605496,0.000220591761392,-0.00164066951486,0.000147858741317,0.999998618839
1349442726128129330,60151,1349442726128827154,/world,vicon/auk/auk,0.000356597472166,-0.000199759681172,0.100066691569,3.63622922452e-05,-0.00137047223522,0.000143976958542,0.999999049877
1349442726138323044,60152,1349442726138756913,/world,vicon/auk/auk,0.000359929706853,-0.0001749081453,0.100033001219,0.00025657037796,-0.00136983067858,7.74929612997e-05,0.999999025865
