%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1349442726051814451,0,1349442726054150820,auk,-0.0130946693226,0.00160347354409,0.351877892052,0.935952940907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00392699081699,0.000523598775598,0.00418879020479,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.07848,-0.22563,9.85905,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1349442726071573512,1,1349442726074151039,auk,-0.0131453906872,0.00149337909803,0.351713894627,0.93601405163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0287979326579,-0.00471238898038,-0.00575958653158,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.10791,-0.25506,9.87867,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1349442726091752678,2,1349442726094148874,auk,-0.0132576195625,0.00154553013178,0.351633123191,0.936042730614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00890117918517,0.00418879020479,0.0175405589825,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.13734,-0.24525,9.87867,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1349442726111706526,3,1349442726114148855,auk,-0.0134209896356,0.00148415855096,0.351633387581,0.936040402466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00235619449019,-0.00471238898038,0.0,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.11772,-0.23544,9.87867,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1349442726131710385,4,1349442726134148836,auk,-0.0132272008654,0.00146153197949,0.351795704805,0.935982204511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00759218224618,-0.00287979326579,-0.00706858347058,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.07848,-0.20601,9.89829,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1349442726151636787,5,1349442726154149055,auk,-0.0131967531514,0.00137754448378,0.351958273323,0.935921643043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00287979326579,0.00602138591938,-0.0010471975512,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.0981,-0.1962,9.87867,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1349442726171365535,6,1349442726174149036,auk,-0.013145911174,0.00148879040016,0.352040603734,0.935891223298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00157079632679,0.0123045712266,-0.00392699081699,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.13734,-0.1962,9.86886,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1349442726191249545,7,1349442726194146872,auk,-0.0130442856191,0.00171130921563,0.352205197811,0.935830335407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010471975512,0.00261799387799,-0.0157079632679,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.15696,-0.1962,9.87867,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1349442726211218761,8,1349442726214146852,auk,-0.0129936610479,0.00182144819888,0.352369124074,0.93576912083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00471238898038,0.001308996939,-0.00890117918517,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.16677,-0.22563,9.86886,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
1349442726231657809,9,1349442726234146833,auk,-0.0130247311412,0.00190084068796,0.352533187299,0.935706735594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00785398163397,0.00863937979737,0.00575958653158,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.13734,-0.21582,9.85905,0.006889,0.0,0.0,0.0,0.006889,0.0,0.0,0.0,0.006889
